date,Open,High,Low,Close,Adj Close,Volume
2021. 10. 22,4775778,4906398,4601294,4675048,22883275653766,551828559395857
2021. 10. 23,4676431,4911717,4644962,4911717,17405852012013,579893934546015
2021. 10. 24,4911943,4928278,4671443,4813666,17635195675292,568247204992667
2021. 10. 25,4809571,4947154,4794779,4926736,18835593574494,586450727495906
2021. 10. 26,4926107,5011044,4797504,4826490,20041252099387,569826944999023
2021. 10. 27,4827742,5031303,4606655,4606655,30633063957351,542309649437688
2021. 10. 28,4600277,5012990,4580264,5009171,30425555650757,593554068645373
2021. 10. 29,5010770,5236704,4995926,5185606,26834686281816,609319297307287
2021. 10. 30,5185015,5199821,4995022,5080952,17167501443705,600279361042118
2021. 10. 31,5077539,5161765,4908714,5036813,20553513996944,595132174593510
2021. 11. 1,5036981,5156960,4902630,5092505,21125691458830,600273384422352
2021. 11. 2,5090002,5423197,5041606,5406030,24486699593550,638056529342355
2021. 11. 3,5411791,5506231,5285947,5438052,25021483019063,642096095585703
2021. 11. 4,5435084,5424735,5250856,5380858,21736238344093,633083104896616
2021. 11. 5,5380975,5418557,5255809,5300497,17890641622463,628981609102899
2021. 11. 6,5296249,5353373,5121771,5342248,17047954120640,631649800968199
2021. 11. 7,5345085,5483249,5329728,5460104,15999135783094,645549945437689
2021. 11. 8,5459035,5787517,5459035,5778651,22796031515702,672498162789214
2021. 11. 9,5776230,5697012,5562671,5580268,25018956375204,672541634805920
2021. 11. 10,5578258,5739783,5313624,5494525,26808657997669,646305062000161
2021. 11. 11,5493671,5635268,5428160,5630765,21253388830011,663231180090035
2021. 11. 12,5623531,5665355,5317553,5506940,21802339107754,657305011181361
2021. 11. 13,5506472,5548237,5406721,5488468,17058979628761,649451804079734
2021. 11. 14,5485131,5533757,5329736,5458894,14363425905569,646019013662592
2021. 11. 15,5459758,5622127,5383060,5394261,19204767431555,636480233611021
2021. 11. 16,5409618,5772472,4899231,4992809,32451356315424,590723530931713
2021. 11. 17,4989902,5077924,4852814,5066910,26268546350097,601050128296025
2021. 11. 18,5067157,5129082,4683893,4732790,25269887147567,559756700154033
2021. 11. 19,4726968,5139986,4710314,5122464,24400980199945,602102845767741
