Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,48700,50000,48350,49850,46904.38672,18613864
2020-04-23,50200,50300,49500,49850,46904.38672,18754442
2020-04-24,49650,49750,49000,49350,46433.93359,15618347
2020-04-27,49350,50000,49100,49850,46904.38672,14049471
2020-04-28,49850,50100,49300,50100,47139.61719,16095399
2020-04-29,49900,50500,49600,50000,47045.53125,15604533
2020-05-04,48900,49100,48500,48500,45634.15625,26083749
2020-05-06,49000,49200,48500,49200,46292.79688,18070225
2020-05-07,49200,49300,48700,48800,45916.42578,13884411
2020-05-08,49100,49350,48800,48800,45916.42578,15319700
2020-05-11,48900,49250,48300,48400,45540.07422,16357743
2020-05-12,48400,48500,47550,47900,45069.61719,23433590
2020-05-13,47250,48550,47200,48550,45681.21094,20223277
2020-05-14,47750,48100,47650,48000,45163.70703,19305974
2020-05-15,48400,48450,47700,47850,45022.56641,18463118
2020-05-18,47950,49100,47600,48800,45916.42578,20481981
2020-05-19,50100,50500,49700,50300,47327.79688,25168295
2020-05-20,50000,50200,49800,50000,47045.53125,14896899
2020-05-21,50300,50400,49850,49950,46998.47656,14949266
2020-05-22,49600,49800,48600,48750,45869.38672,19706284
2020-05-25,48750,48900,48450,48850,45963.48047,14337913
2020-05-26,48700,49450,48600,49250,46339.84375,15127490
2020-05-27,48950,50000,48800,49900,46951.43359,19548479
2020-05-28,51100,51200,49900,50400,47421.89453,31309318
2020-05-29,50000,50700,49700,50700,47704.16016,27596961
2020-06-01,50800,51200,50600,51200,48174.61719,16949183
2020-06-02,51000,51500,50800,51400,48362.79688,14247933
2020-06-03,51800,55000,51700,54500,51279.625,49257814
2020-06-04,55800,57000,54600,54600,51373.71484,40220334
2020-06-05,54400,55900,54000,55500,52220.53125,22743629
2020-06-08,56400,56500,54700,54900,51655.98438,25634965
2020-06-09,55800,56500,54400,55500,52220.53125,23998831
2020-06-10,55100,55900,54900,55400,52126.44141,16742493
2020-06-11,54500,55100,53200,54300,51091.4375,33815123
2020-06-12,52100,52800,51500,52300,49209.62109,26976019
2020-06-15,51400,52000,49900,49900,46951.43359,28772921
2020-06-16,51200,52100,50600,52100,49021.44141,21808375
2020-06-17,52100,52900,51300,52200,49115.52344,26672595
